================ Training Loss (Sun Jan  8 16:54:37 2023) ================
(epoch: 27, iters: 100, time: 0.024, data: 0.176) G_GAN: 2.379 G_L1: 30.420 D_real: 0.008 D_fake: 0.936 
(epoch: 27, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.287 G_L1: 25.018 D_real: 0.248 D_fake: 0.320 
(epoch: 27, iters: 300, time: 0.023, data: 0.001) G_GAN: 3.369 G_L1: 32.940 D_real: 0.216 D_fake: 0.053 
(epoch: 27, iters: 400, time: 0.088, data: 0.001) G_GAN: 1.424 G_L1: 34.762 D_real: 0.038 D_fake: 0.565 
(epoch: 28, iters: 100, time: 0.023, data: 0.178) G_GAN: 3.194 G_L1: 29.242 D_real: 0.050 D_fake: 0.204 
(epoch: 28, iters: 200, time: 0.024, data: 0.001) G_GAN: 0.868 G_L1: 25.483 D_real: 1.417 D_fake: 1.119 
(epoch: 28, iters: 300, time: 0.023, data: 0.001) G_GAN: 1.295 G_L1: 22.261 D_real: 0.697 D_fake: 0.125 
(epoch: 28, iters: 400, time: 0.085, data: 0.001) G_GAN: 3.059 G_L1: 26.580 D_real: 0.108 D_fake: 0.095 
(epoch: 29, iters: 100, time: 0.023, data: 0.175) G_GAN: 2.532 G_L1: 34.471 D_real: 0.077 D_fake: 0.183 
(epoch: 29, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.021 G_L1: 36.048 D_real: 0.003 D_fake: 0.206 
(epoch: 29, iters: 300, time: 0.024, data: 0.001) G_GAN: 2.192 G_L1: 29.756 D_real: 0.026 D_fake: 1.198 
(epoch: 29, iters: 400, time: 0.080, data: 0.001) G_GAN: 4.884 G_L1: 51.394 D_real: 0.001 D_fake: 0.017 
(epoch: 30, iters: 100, time: 0.024, data: 0.171) G_GAN: 1.714 G_L1: 28.729 D_real: 0.972 D_fake: 0.100 
(epoch: 30, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.308 G_L1: 34.966 D_real: 0.043 D_fake: 0.190 
(epoch: 30, iters: 300, time: 0.023, data: 0.001) G_GAN: 3.281 G_L1: 28.689 D_real: 0.019 D_fake: 0.074 
(epoch: 30, iters: 400, time: 0.086, data: 0.001) G_GAN: 2.117 G_L1: 41.164 D_real: 0.218 D_fake: 0.128 
(epoch: 31, iters: 100, time: 0.024, data: 0.184) G_GAN: 2.039 G_L1: 30.896 D_real: 0.181 D_fake: 0.343 
(epoch: 31, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.260 G_L1: 23.809 D_real: 0.892 D_fake: 0.113 
(epoch: 31, iters: 300, time: 0.023, data: 0.001) G_GAN: 1.338 G_L1: 37.326 D_real: 0.881 D_fake: 0.490 
(epoch: 31, iters: 400, time: 0.092, data: 0.001) G_GAN: 1.756 G_L1: 31.532 D_real: 0.186 D_fake: 0.454 
(epoch: 32, iters: 100, time: 0.023, data: 0.184) G_GAN: 2.516 G_L1: 38.528 D_real: 0.001 D_fake: 0.918 
